Flight identifier,Departure difference,Arrival difference,Duration
WN 8,5,2,142
VX 8,3,8,85
WN 27,2,4,57
WN 29,4,24,51
AS 3,5,9,126
LH 6,14,19,617
DL 91,7,20,97
UA 75,32,23,76
AS 8,6,26,158
WN 87,8,6,97
AA 7,12,3,148
UA 48,5,22,93
AA 24,11,7,310
AA 27,4,5,133
AS 78,2,5,54
AA 200,5,17,133
AA 35,166,140,73
AA 73,6,25,115
AS 12,4,14,149
AA 25,3,13,123
AS 140,15,12,49
VX 83,0,4,92
AS 20,9,26,155
WN 79,8,15,135
AS 35,5,10,94
WN 283,3,29,115
B6 7,7,5,410
UA 61,3,9,97
VX 60,4,8,89
WN 139,2,15,396
AA 63,9,36,73
AA 119,1,6,414
AS 22,7,30,167
AA 120,4,25,79
UA 468,32,16,94
AA 43,5,2,135
VX 115,10,13,135
VX 105,14,3,417
UA 28,8,5,77
B6 68,8,6,413
UA 136,25,11,96
AS 46,4,11,163
DL 514,2,17,72
WN 216,7,1,404
VX 134,12,16,128
UA 135,132,105,123
AS 64,18,18,121
WN 71,1,5,159
DL 30,2,17,387
AA 484,13,29,98
AS 264,6,14,55
AS 41,7,7,171
DL 614,3,12,78
DL 622,53,65,96
VX 158,11,1,137
DL 637,5,33,88
DL 661,2,2,106
AS 46,4,6,161
UA 41,2,2,114
WN 365,16,20,154
WN 295,1,12,115
WN 337,7,10,122
DL 88,5,14,160
AA 86,7,29,79
UA 208,7,18,84
WN 265,8,23,94
WN 229,1,21,91
AS 37,3,14,156
WN 124,3,18,108
AA 55,4,7,87
AS 333,89,79,47
WN 672,6,27,79
AA 62,15,11,96
AS 388,7,8,65
VX 268,9,14,130
VX 286,5,9,91
DL 898,6,10,86
AA 168,56,35,110
AS 522,5,4,53
WN 405,3,30,146
B6 153,11,10,394
UA 180,5,7,87
AS 45,6,1,167
AA 389,7,9,339
AS 567,14,6,68
DY 1193,1,0,451
AS 364,6,7,47
WN 433,4,31,148
AS 370,2,4,50
AS 64,22,17,124
AA 1031,6,19,111
AA 989,9,27,168
UA 271,156,147,76
AS 58,2,11,141
WN 511,4,2,122
UA 210,3,7,141
AA 65,7,7,111
WN 845,5,13,87
WN 665,10,26,79
AS 477,3,11,41
AS 108,13,16,142
AI 34,11,18,982
B6 193,5,21,303
AS 99,5,11,146
AS 68,152,177,151
AS 87,5,22,155
WN 481,2,19,103
WN 1148,33,20,54
AS 80,18,15,118
LH 158,13,2,499
WN 374,2,2,175
AS 732,36,54,78
DL 639,17,17,134
AS 159,31,38,109
AS 94,1,1,161
DL 1313,4,16,77
DL 1321,3,11,88
AS 161,3,4,100
B6 186,6,18,313
WN 506,60,72,151
VX 441,9,3,85
AS 107,8,1,181
WN 1127,5,26,78
AS 803,10,12,73
DL 47,1,19,305
B6 141,7,17,390
AS 82,74,97,131
AS 99,5,15,128
DL 1453,5,2,101
DL 1473,3,3,147
AS 180,6,0,390
DY 1738,22,21,679
WN 225,0,2,140
AS 691,11,14,62
WN 1233,7,2,100
AS 114,7,12,175
WN 623,3,3,165
WN 134,8,15,137
LH 126,9,5,571
AA 435,13,6,125
AS 100,12,4,93
AA 111,1,1,135
AS 705,5,2,48
AA 16,5,45,620
WN 588,4,5,126
DL 1618,185,168,83
AA 114,11,22,81
WN 109,5,29,76
AS 962,7,2,69
LH 2340,15,31,629
B6 140,6,17,313
UA 332,3,2,86
UA 553,186,197,121
AS 111,128,152,151
AA 60,8,11,406
B6 97,6,15,322
WN 806,2,9,276
AA 168,10,3,121
VX 409,2,39,442
VX 579,5,12,76
AS 169,5,1,142
WN 433,6,25,149
WN 703,1,16,102
AS 140,5,14,171
AS 855,7,1,59
AS 8,2,27,279
AS 70,10,22,89
AA 68,8,19,133
DL 554,5,11,177
B6 191,33,26,304
WN 1578,4,19,85
UA 363,0,5,75
AA 84,0,2,90
AS 241,9,7,119
AS 1121,9,21,136
WN 1409,3,9,156
AA 93,85,179,183
WN 802,5,12,407
VX 449,32,18,319
WN 820,2,27,132
DL 1057,1,7,118
WN 176,5,8,131
AA 2036,12,13,140
DL 2080,5,1,96
AS 105,63,84,148
WN 2054,6,15,52
DL 491,3,29,294
VX 653,3,10,119
WN 1797,1,7,100
AA 460,126,149,156
VX 728,160,169,90
WN 619,6,11,122
AS 208,6,12,148
WN 489,4,25,158
WN 538,7,19,123
UA 169,12,4,112
AA 2145,9,1,142
WN 288,2,13,129
WN 444,10,21,124
WN 366,4,4,142
WN 837,3,10,113
WN 409,1,2,334
AA 2068,5,2,126
WN 1802,8,16,56
WN 1929,7,15,82
WN 2228,0,34,102
AA 220,80,108,139
UA 716,2,13,94
AA 287,5,35,386
AS 1400,6,18,96
AS 1004,5,13,57
UA 473,216,223,87
AA 2204,5,2,177
AS 1171,3,1,53
AS 200,113,156,154
AA 2505,38,34,112
AA 781,8,14,331
WN 730,4,2,125
UA 130,3,4,119
AA 1007,2,25,313
WN 1226,3,20,86
AS 215,3,27,130
AA 190,7,23,118
DY 3045,46,19,588
UA 485,2,10,77
UA 504,4,1,83
WN 365,5,10,108
AS 132,1,9,122
AA 811,8,7,113
AS 238,6,1,141
AA 363,0,20,314
VX 853,5,2,84
AA 269,8,16,108
WN 2529,1,6,152
AS 192,4,14,47
WN 840,0,21,255
WN 2245,4,13,80
AS 990,3,0,50
WN 1030,3,25,94
AS 978,1,6,48
AS 1593,7,3,56
AA 95,7,24,84
WN 59,3,36,147
WN 31,3,1,142
AS 251,2,15,141
WN 1270,1,16,102
WN 42,7,22,112
UA 691,6,6,110
AS 162,1,12,115
WN 1387,5,11,89
AS 1089,14,6,49
LH 201,36,70,524
DL 2896,4,11,83
AA 337,12,23,132
DL 2902,3,48,136
AA 993,3,21,92
WN 1044,4,6,119
WN 460,3,8,119
AA 2779,9,28,93
B6 140,10,3,402
WN 1101,3,10,124
WN 920,3,34,153
AA 292,6,52,190
VX 756,11,50,186
VX 675,6,33,313
AS 1159,1,13,61
AA 112,8,7,116
WN 474,10,33,133
